0/0/0	      黑色
255/255/255   白色
128/0/0       深红          
255/0/0       红            
255/0/255     粉红         
255/153/204 玫瑰红        
153/51/0      褐色           
255/102/0     桔黄           
255/153/0     浅桔黄        
255/204/0     金色          
255/204/153 棕黄          
51/51/0       橄榄绿        
128/128/0     深黄          
153/204/0     酸橙色        
255/255/0     黄色          
255/255/153 浅黄          
0/51/0        深绿          
0/128/0       绿色          
51/153/102    海绿          
0/255/0       鲜绿          
204/255/204 浅绿          
0/51/102      深灰蓝        
0/128/128     青色          
51/204/204    宝石蓝        
0/255/255     青绿          
204/255/255 浅青绿        
0/0/128       深蓝          
0/0/255       蓝色          
51/102/255    浅蓝         
0/204/255     天蓝          
153/204/255 浅蓝          
51/51/153     靛蓝          
102/102/153 蓝灰          
128/0/128     紫色          
153/51/102    梅红          
204/153/255 淡紫          
51/51/51      80%灰         
128/128/128 50%灰         
153/153/153 40%灰         
192/192/192 25%灰 
